"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"female*1","1","0",1,49,1,0,1,1,0,1,1,0,NA,NA,0
"female*2","2","1",1,47,2,0,2,2,0,2,2,0,NA,NA,0
"pright1","3","0",2,15,0.821333333333333,0.166898885841812,0.84,0.830769230769231,0.237216,0.52,1,0.48,-0.385686978307922,-1.34079911004282,0.043093107024394
"pright2","4","1",2,17,0.87764705882353,0.107210622827492,0.88,0.882666666666667,0.118608,0.68,1,0.32,-0.28935186382681,-1.43350072894699,0.026002395418
"dtnoword11","5","0",3,15,50.9063248,63.014516967877,25.27752,43.505244,37.476451152,0,198.0267,198.0267,1.23872391683702,0.192702139456685,16.2702783190595
"dtnoword12","6","1",3,17,38.1328607647059,54.4603592381748,25.48354,29.0539155333333,37.781896404,0,212.4499,212.4499,1.85241142350182,3.33087464617882,13.208577267534
